,workload,l3_stall_1,l3_stall_2,l3_stall_3,demand_l2_mlp_1,demand_l2_mlp_2,demand_l2_mlp_3,l3_miss_1,l3_miss_2,l3_miss_3,offcore_load_latency_1,offcore_load_latency_2,offcore_load_latency_3,(l3_miss/mlp)_1,(l3_miss/mlp)_2,(l3_miss/mlp)_3,(lat*l3_miss/mlp)_1,(lat*l3_miss/mlp)_2,(lat*l3_miss/mlp)_3
37,641.leela_s,727782915,1366870023,1825883575,2.5876415,2.485629577,2.510985122,5943480,5275098,5417305,50.50228919,58.61420163,63.86260531,2296871.495,2122238.184,2157442.094,115997268.5,124393296.8,137779872.9
38,644.nab_s,27172940754,55992560886,85990806747,1.191162026,1.148589719,1.14296217,178481636,176576115,178252608,75.8803339,106.9091669,132.2526359,149838252.1,153732975.4,155956699.8,11369776599,16435464326,20625684631
39,648.exchange2_s,2415798,1634160,2948700,1.28220047,1.292553706,1.306458285,19022,12681,11435,78.24670324,78.61329957,86.32009601,14835.43365,9810.810908,8752.671352,1160823.774,771260.2169,755531.4314
40,649.fotonik3d_s,1507263151582,3051690762506,6469278874184,2.221298523,2.21197657,2.087661864,12359311346,13054876793,15438286945,287.7870485,502.9104705,828.6591643,5564002864,5901905550,7395013155,1601247961871,2968130097219,6127945421273
41,654.roms_s,2330111414333,3767464145665,7727003413357,2.077060495,2.080021091,2.032719216,13244589147,14373547905,15126439335,272.1241982,397.7037092,707.931647,6376602502,6910289500,7441479974,1735227843135,2748247765800,5268059174248
42,657.xz_s,519808992507,1004690158427,1452479677239,1.172688984,1.193687013,1.20998408,2776075993,2783444712,2792386678,124.7278411,196.1753013,261.943418,2367273874,2331804469,2307787949,295264959569,457442444142,604509863475
43,bc-kron,4141876721755,6238185055642,9653625141374,3.88352755,4.632380685,5.120876288,62947578673,60443761278,59509294773,130.7614062,212.4950621,337.9158735,16208866259,13048098892,11620920215,2119494145733,2772656584143,3926893405660
44,bc-road,259402038665,466810857908,701330708217,2.243385477,2.268533877,2.248963892,1519580736,1455821385,1448301006,99.04554796,116.2284249,133.9718149,677360512.4,641745490.1,643985886.7,67089543113,74589067478,86275958032
45,bc-twitter,2583357908720,4198282283315,6805189431602,3.674730077,4.192065549,4.549824424,37320382887,36608468935,36316938222,150.7550391,245.169006,395.9504172,10155952168,8732799739,7982052676,1531060966265,2141011831728,3160497087007
46,bc-urand,1576214355459,2403320896267,3773235740179,3.684964584,4.352890135,4.755490367,25424973558,25166586568,25025513473,145.290714,238.9500531,382.7163003,6899652080,5781580923,5262446466,1002455376831,1381509068638,2014024042069
47,bc-web,810766552702,1482241954564,2379302075473,1.708370901,1.75978974,1.778916559,6212524830,6189765446,6167063154,150.5919536,225.7268874,321.542221,3636519930,3517332386,3466752346,547630640460,793956491467,1114707248994
48,bfs-kron,577985247010,1066182458863,1816232078865,2.614414662,2.826605602,3.004960113,5233936764,5137677121,4979145142,104.635801,159.7227186,244.4406034,2001953569,1817613719,1656975452,209476015188,290314204610,405032079372
49,bfs-road,146438576886,284424705988,456312823427,1.894985836,1.921613818,1.901546601,765849368,755123785,757202859,95.84124314,115.4057643,136.7779952,404145167.4,392963340.4,398203682.4,38733775258,45350234658,54465501352
50,bfs-twitter,593892876488,1071046425222,1862711680126,2.3739187,2.506935058,2.562455249,4795595711,4695737302,4725270396,87.66885526,127.2280617,184.8506847,2020117922,1873098901,1844040163,177101425731,238310742473,340872086811
51,bfs-urand,515323799993,958225800592,1590282406952,3.198404254,3.063321188,2.917489379,3214272459,3451245687,3325191016,63.19372294,79.89412323,102.0609347,1004961288,1126635268,1139744000,63507245203,90011536928,116323337962
52,bfs-web,225588040565,443851210231,791452569286,1.597869361,1.635159243,1.652853447,1672930617,1734339648,1728854420,174.4571581,281.0317355,456.3782969,1046975840,1060654890,1045981677,182652429738,298077684618,477363336237
53,blackscholes,721179140,2265152662,3961689328,1.286963667,1.263337907,1.241830289,6887376,10421015,10526334,126.7049691,215.8858226,313.8537019,5351647.584,8248794.674,8476467.434,678080341.9,1780797824,2660370683
54,bodytrack,212419574,385210256,561846456,1.886319086,2.058394778,2.041264261,1199458,1345309,1279834,73.7171692,94.54626022,106.3331208,635872.2703,653571.9067,626981.0453,46874703.74,61792779.56,66668851.21
55,canneal,127386754939,262343936757,399064611656,1.09547679,1.096331901,1.097279474,918572580,919740205,920685475,109.8198949,178.7538017,249.6009735,838513959.1,838924967.8,839061968.4,92085514844,149961027304,209430684119
56,cc-kron,444163514980,819111503119,1258208350052,1.389460783,1.450625664,1.488007533,2702417388,2652420908,2632931480,117.5362566,184.582783,262.8428925,1944939664,1828466830,1769434241,228600927542,337503495928,465083213952
57,cc-road,217580512594,431969656590,795639012764,1.343901164,1.396115764,1.437330961,1557307125,1573862969,1606455459,162.575216,254.860265,401.873637,1158795875,1127315520,1117665662,188391489574,287307932237,449160364330
58,cc-twitter,933273540782,1717426824868,2745124016871,1.618562718,1.728522941,1.801030907,7311621761,7287854591,7262706855,139.8762849,227.421147,341.0304622,4517354614,4216232493,4032527608,631870780775,958860429434,1375214753732
59,cc-urand,958903729863,1900039441589,2932469446904,1.334436874,1.310398275,1.313286909,5393689496,5625735234,5679165672,96.91778588,149.3310846,211.4692911,4041921804,4293149146,4324390683,391734111985,641100618164,914475832186
60,cc-web,687078433692,1356961478075,2548120973906,1.985775425,2.129781022,2.207201536,7431767898,7655387670,7816923117,193.9783342,335.5932536,576.8977081,3742501697,3594448252,3541553859,725964244844,1206272583458,2043114304644
61,dedup,469128740,524968907,948466483,2.040166309,1.774380454,1.901742571,2568875,1830234,2382860,110.9189792,132.3700724,142.9889977,1259149.8,1031477.774,1252987.674,139663610.5,136536787.5,179163451.6
62,facesim,43320742866,92489837307,142755070360,1.084739513,1.088351427,1.088141147,357540133,353511850,343099866,102.4755842,159.9139107,226.1175496,329609209.3,324814063.8,315308236.4,33776896270,51942287199,71296725784
63,ferret,67054029038,132052776658,206323986187,1.047400467,1.041588082,1.040102452,445179222,439019645,452731678,121.5806705,201.4164244,280.3294052,425032483.8,421490656.9,435276041.5,51675734347,84895141016,122020673834
64,fluidanimate,51812594583,99456175224,145559011597,1.113563526,1.178129389,1.159684146,403913220,406735456,418810308,146.6021486,245.9559435,328.4152502,362721309.2,345238358.2,361141703.3,53175723253,84913426134,118604442852
65,freqmine,7758560243,15698670703,22492618696,1.105564163,1.136705385,1.098390429,50997826,52824743,55044263,108.0709675,156.8940717,213.7785505,46128327.7,46471797.99,50113567.58,4985133004,7291149604,10713205837
66,gpt_2_124M_unconditional,204763155956,390873695700,632874109186,4.518159857,4.916487398,5.060671667,5703029316,5540584422,5388334900,178.9335506,316.8092302,505.9079942,1262246024,1126939616,1064746985,225858162844,357024872323,538664011509
67,gpt_2_1558M_unconditional,2154317053156,3962083583080,6403463491416,4.217156308,4.703644734,5.045501398,49352880628,52144261148,53173444232,207.8939004,353.7229112,555.2116453,11702881520,11085926786,10538782976,2432957685068,3921346295755,5851255035546
68,gpt_2_355M_unconditional,534422398464,1005540410240,1627656565728,4.118904652,4.548193205,4.916470026,11468349730,11889085388,12223813092,191.1839398,331.5108307,524.6831676,2784320274,2614023823,2486298712,532317319679,866577209058,1304519083823
69,gpt_2_774M_unconditional,1140929639089,2120045077092,3457834262001,4.222348959,4.681269669,5.012623154,26712515945,27337856404,27693429512,199.3621169,344.5920549,547.0621556,6326458615,5839837979,5524737978,1261256181903,2012361769201,3022375067716
70,pr-kron,2248552292122,2692302291025,4210753733324,5.92386437,8.289335626,9.552667199,51296763017,52325018951,53518026329,124.2994726,201.3715472,348.0188469,8659341237,6312329638,5602417128,1076351549028,1271123585363,1949746748521
71,pr-road,72281319332,154754526521,332607706348,1.545453716,1.616128213,1.660948224,800383407,777589014,811212251,184.2210164,299.0021401,522.9173373,517895423.6,481143146.8,488403093.7,95407221314,143862830576,255394445326
72,pr-twitter,3584761299509,5080388432574,8318271811456,5.767054095,7.23135406,7.935354422,90593480285,91997158177,92679813978,131.0930772,213.7837145,358.7761386,15708796690,12721982275,11679354071,2059314497201,2719752626904,4190273555047
73,pr-urand,2176722666860,2936755000913,5013991655542,7.662493528,9.962818866,10.64294422,67296324032,69433094073,69796950610,174.4476496,292.1107059,510.4335465,8782561941,6969221764,6558049085,1532097288073,2035784289376,3347448252183
74,pr-web,83089798227,159447036614,337055267266,2.904429353,3.036442486,3.083916435,1443358747,1481153689,1509884135,119.7364601,179.1038833,306.6581866,496950888.3,487792439.9,489599561.8,59503140226,87365520257,150139713785
